ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕКЛИНИЧЕСКАЯ БОЛЬНИЦА №4Г. ГРОЗНОГО;43.317776;45.694909
ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ 1 ВОЕННЫЙ ГОСПИТАЛЬ ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ;47.41829;40.084598
государственное казённое учреждение здравоохранения Первая республиканская психоневрологическая больница Министерства здравоохранения Удмуртской Республики;56.456647;52.061
ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ 128 ВОЕННАЯ ПОЛИКЛИНИКА МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ (Г.АРМАВИР);45.001116;41.132429
ФИЛИАЛ №1 ФЕДЕРАЛЬНОГО ГОСУДАРСТВЕННОГО БЮДЖЕТНОГО УЧРЕЖДЕНИЯ 1409 ВОЕННО-МОРСКОЙ КЛИНИЧЕСКИЙ ГОСПИТАЛЬ МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ;54.754365;21.22993
ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ 143 ВОЕННЫЙ ГОСПИТАЛЬ МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ;54.789208;58.634952
ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ 144 ВОЕННЫЙ ГОСПИТАЛЬ МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ;42.852021;131.339507
ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ 145 ВОЕННЫЙ ГОСПИТАЛЬ МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ;53.183026;158.388355
филиал № 1 федерального государственного казенного учреждения 1469 Военно-морской клинический госпиталь Министерства обороны Российской Федерации;69.081415;33.411274
ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ 1472 ВОЕННО-МОРСКОЙ КЛИНИЧЕСКИЙ ГОСПИТАЛЬ МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ;44.616687;33.525432
ФИЛИАЛ № 1 ФЕДЕРАЛЬНОГО ГОСУДАРСТВЕННОГО КАЗЕННОГО УЧРЕЖДЕНИЯ 1477 ВОЕННО-МОРСКОЙ КЛИНИЧЕСКИЙ ГОСПИТАЛЬ МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ;53.032486;158.761276
филиал № 3 федерального государственного казенного учреждения 1602 Военный клинический госпиталь Министерства обороны Российской Федерации;45.019665;39.067902
государственное казенное учреждение здравоохранения Вторая республиканская психиатрическая больница Министерства здравоохранения Удмуртской Республики;56.802311;61.33099
ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ 3 ВОЕННЫЙ ГОСПИТАЛЬ ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ;59.939095;30.315868
ФИЛИАЛ №4 ФЕДЕРАЛЬНОГО ГОСУДАРСТВЕННОГО БЮДЖЕТНОГО УЧРЕЖДЕНИЯ 3 ЦЕНТРАЛЬНЫЙ ВОЕННЫЙ КЛИНИЧЕСКИЙ ГОСПИТАЛЬ ИМЕНИ А.А. ВИШНЕВСКОГО МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ;55.755814;37.617635
филиал № 5 федерального государственного казенного учреждения 301 Военный клинический госпиталь Министерства обороны Российской Федерации;48.794662;132.921736
филиал № 3 федерального бюджетного учреждения 321 военный клинический госпиталь Министерства обороны Российской Федерации;52.033973;113.499432
ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ 35 ОТДЕЛЬНЫЙ МЕДИЦИНСКИЙ ОТРЯД (АЭРОМОБИЛЬНЫЙ) ВОЗДУШНО-ДЕСАНТНЫХ ВОЙСК МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ;57.819365;28.331786
филиал № 8 федерального государственного казенного учреждения 354 Военный клинический госпиталь Министерства обороны Российской Федерации;55.160026;61.40259
